product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
0aed9d548c366ad8058084c1de5100c5,fashion_bolsas_e_acessorios,32,408,3,125,18,17,12
c3ce49d20cc5d56f0419f256c480e235,fashion_bolsas_e_acessorios,41,412,5,100,16,5,20
9fe172fa8e662ca8572cf12abf8bce23,fashion_bolsas_e_acessorios,36,412,5,150,16,5,20
635c4d1abbc47f87a51cec367caeccdf,fashion_bolsas_e_acessorios,52,566,1,100,22,2,19
f79b6b10ce5885fa36adf4f013681939,fashion_bolsas_e_acessorios,44,566,1,100,22,2,19
d268b1387a5aad5769aee20e55619a20,fashion_bolsas_e_acessorios,51,731,1,350,16,2,11
7fc59915d9bde9a845801ee04a8658fa,fashion_bolsas_e_acessorios,58,1359,1,300,16,2,20
37f582e625d4301ab2d6b200238405d1,fashion_bolsas_e_acessorios,24,503,5,150,16,14,11
bf645249c207bf3357cff89ac355a15e,fashion_bolsas_e_acessorios,32,408,3,75,18,20,12
63b32c8deb3da0b2420e52ddb3a3dfe4,fashion_bolsas_e_acessorios,58,351,3,200,43,16,27
e6609e94d7b022fd6abf6142401618f9,fashion_bolsas_e_acessorios,56,119,1,150,16,2,11
b3589656bf8ff7b7b31fb5de73b641ac,fashion_bolsas_e_acessorios,49,26,1,250,16,2,11
d249623077b8906276b8d77ced95f8c4,fashion_bolsas_e_acessorios,29,40,6,150,16,2,11
101db7b4f26cc560363660d06fe980cd,fashion_bolsas_e_acessorios,58,749,2,200,16,2,11
c61066ec039ab5de17a7d3151f8806c0,fashion_bolsas_e_acessorios,54,1438,1,150,16,2,11
f4c9a2926d5a2fe099ebbe7d0967bd37,fashion_bolsas_e_acessorios,31,525,5,300,16,18,11
ed506becc3430a3a6331df5b4c3eaed3,fashion_bolsas_e_acessorios,48,731,1,300,16,2,11
59c1840441f4df065f52760bf51a8442,fashion_bolsas_e_acessorios,46,418,4,150,16,5,11
d11945f4c91fe1cdf997b92559c7e4b1,fashion_bolsas_e_acessorios,50,1359,1,150,16,2,11
05b0feccfab2debfdb5744e42bdb6f71,fashion_bolsas_e_acessorios,43,178,1,150,21,9,14
5a168adb8f812ea06dbbfaaa3bae7986,fashion_bolsas_e_acessorios,25,395,2,200,16,12,16
094615cac200c0dc4620ae28485f81f5,fashion_bolsas_e_acessorios,28,74,5,200,16,2,11
dca00aeaa69da64cdecdb72e1c205111,fashion_bolsas_e_acessorios,58,719,2,200,16,2,11
c8912823a1b11a32f009ba6474f8ac72,fashion_bolsas_e_acessorios,54,354,3,200,43,16,27
ac22fcbcbea874d9ad03849f997ffa27,fashion_bolsas_e_acessorios,49,751,1,200,16,2,11
d103baa8d35783ff2772704ed17ddd45,fashion_bolsas_e_acessorios,53,553,5,250,16,2,20
9a442e31dcb07042eca00d73c1933880,fashion_bolsas_e_acessorios,58,719,2,350,16,2,11
5809b7fd257b16bbd9bdf9507931673a,fashion_bolsas_e_acessorios,57,360,3,600,43,16,27
a11ae57e28ac218d33dbd82fa3879b57,fashion_bolsas_e_acessorios,45,1382,1,200,16,2,11
183c95ad186f48c320bbac4643829d3f,fashion_bolsas_e_acessorios,36,412,5,150,16,5,20
1582e72435d827bb125ed429ecfc56f6,fashion_bolsas_e_acessorios,48,1359,1,200,16,2,11
1e9718b1172540cd45abc1cfa8750da6,fashion_bolsas_e_acessorios,33,505,3,300,16,16,12
355c91ffac499557d65c0821237b6350,fashion_bolsas_e_acessorios,42,770,1,850,16,2,11
761786c69af6094fe760ef42fbceaa1f,fashion_bolsas_e_acessorios,31,331,5,200,16,12,14
aaa09cd0acd316f7816145408dd73449,fashion_bolsas_e_acessorios,39,180,5,200,16,12,16
3a95236711511b32855804d3a6287595,fashion_bolsas_e_acessorios,57,92,3,150,16,2,11
11810c1eaac441e272977edc26016b38,fashion_bolsas_e_acessorios,50,1359,1,200,16,2,11
87283a98b24f9f1ac3a31b631073cf47,fashion_bolsas_e_acessorios,50,411,5,150,16,5,20
1afdb4e17af189582b06591ae8a031a4,fashion_bolsas_e_acessorios,59,131,5,250,16,2,20
d97cfa719a6198d4a66453e0c6ed596c,fashion_bolsas_e_acessorios,57,66,1,250,16,2,20
258063ebd89572a6ccd9c599b3193398,fashion_bolsas_e_acessorios,56,365,3,700,43,27,16
d5f006788a809ec51caf80f7d438649c,fashion_bolsas_e_acessorios,60,1437,1,50,16,2,11
178c8458c4907a2680456130f76e10e0,fashion_bolsas_e_acessorios,51,1490,2,300,16,2,11
339dfa68c25548e53903cd44e090f28f,fashion_bolsas_e_acessorios,53,77,3,150,16,2,11
151f6da73d1f11e1a75553f0281d19dd,fashion_bolsas_e_acessorios,42,78,4,200,16,2,11
73f0291fe089e68d9d01418708e3f192,fashion_bolsas_e_acessorios,51,15,1,250,16,2,11
d3b24c68466ec241b98cddd7861bce4a,fashion_bolsas_e_acessorios,34,154,1,150,21,9,14
d186bbb8f1ac973969dfcfbf0347198a,fashion_bolsas_e_acessorios,54,770,1,300,16,2,20
f6e0a9ce8a6e91c3a0ca2d3005911d20,fashion_bolsas_e_acessorios,29,498,4,300,16,16,11
44d097d59e8430f88a67517cd0c4f865,fashion_bolsas_e_acessorios,55,151,6,350,16,2,20
adbf2a0a3ae7257809f7f85c765e14e6,fashion_bolsas_e_acessorios,19,152,3,150,16,9,11
146df82d2ffd8fa52e2a5d6b6a0d6dff,fashion_bolsas_e_acessorios,47,731,1,200,16,2,11
e2b2f194ebeff245c0d996fe093ca15e,fashion_bolsas_e_acessorios,53,300,1,100,21,9,14
2c5f07b082ffff0814efe5fb5683d62c,fashion_bolsas_e_acessorios,52,73,1,200,16,2,11
2c28b6fda526be32ed276b4dfc421acb,fashion_bolsas_e_acessorios,52,1431,1,200,16,2,11
e68a066cb80e14f049aa01ede58bf0f6,fashion_bolsas_e_acessorios,52,1519,2,300,16,2,11
39b86f4e3aedf22731990099a660a6f5,fashion_bolsas_e_acessorios,59,150,7,200,16,2,20
b1cf88d9eceac375fe83da0b649f331c,fashion_bolsas_e_acessorios,60,650,4,700,43,16,27
e8a2ee67401eb29a9eba28e2eab61a8b,fashion_bolsas_e_acessorios,52,1399,2,250,16,2,11
1ec486885049bbb9b79351d150ed18c4,fashion_bolsas_e_acessorios,36,412,5,100,16,5,20
065a46b0be3f31498ebdd3f4c668a6b6,fashion_bolsas_e_acessorios,53,1359,1,200,16,2,11
938ff611131211b429e75da96367a947,fashion_bolsas_e_acessorios,51,789,1,250,16,2,11
cf96309600a89c51987b4786465f1be3,fashion_bolsas_e_acessorios,56,39,1,200,16,2,11
06b6d4805b3659e45575c03e57cef6fb,fashion_bolsas_e_acessorios,29,204,1,100,21,9,14
24b0f3ae895b131e61a93132876bb191,fashion_bolsas_e_acessorios,34,428,3,300,16,12,16
508cb20f6a6f0bab91557dad150444e2,fashion_bolsas_e_acessorios,48,1359,1,100,16,2,11
a1250bbcaa645885c9165eab1573b5c6,fashion_bolsas_e_acessorios,59,179,6,200,16,2,20
b823551434fcf1d7f42527b9cc0b36b7,fashion_bolsas_e_acessorios,44,1359,2,150,16,2,11
260007563bc92a855dc7c6b8806fa3af,fashion_bolsas_e_acessorios,25,403,5,200,16,10,11
50ff36bb35c58748cec5ead466a68aa4,fashion_bolsas_e_acessorios,30,203,1,150,21,9,14
6e97536d81d74f5020c95ca434c850f7,fashion_bolsas_e_acessorios,59,515,3,700,43,16,27
f7fce9a4e86a0d19818cc145ef87f8ca,fashion_bolsas_e_acessorios,54,719,2,200,16,2,11
aea8161ed6bc3b11628cd393fd03486a,fashion_bolsas_e_acessorios,52,85,1,200,16,2,11
5d7c23067ed3fc8c6e699b9373d5890b,fashion_bolsas_e_acessorios,54,151,3,250,16,2,20
d017a2151d543a9885604dc62a3d9dcc,fashion_bolsas_e_acessorios,59,93,7,250,16,2,11
5ba865074da5eba1460c298b574f9927,fashion_bolsas_e_acessorios,32,205,1,200,21,9,14
be5679ce5a2343c40455223d7bef6dfb,fashion_bolsas_e_acessorios,24,540,5,300,16,14,11
7af739a42fe4a870e840f2831daf1ba6,fashion_bolsas_e_acessorios,47,731,1,300,16,2,20
98fa920be965878f7c44da75d4cb6ddc,fashion_bolsas_e_acessorios,54,650,4,550,43,16,27
362052fcdf7c9e3596a0a6c97536cdc3,fashion_bolsas_e_acessorios,49,293,1,100,21,9,14
77fa3381855b6763c52ca3b72824f508,fashion_bolsas_e_acessorios,60,177,6,250,16,2,20
b5c315fb01a02190500528edf520883f,fashion_bolsas_e_acessorios,57,147,6,200,16,2,20
d68b7771d853f126569c7e64658e3162,fashion_bolsas_e_acessorios,60,114,3,200,16,2,20
bb15f9ba2ec6e36ab6c9e88d17430d64,fashion_bolsas_e_acessorios,34,156,1,150,21,9,14
6d3bb44f9f7c05fcf46bee6a24ec1117,fashion_bolsas_e_acessorios,54,806,1,200,16,2,11
b866da669fde20a56fe475ded8ac41b9,fashion_bolsas_e_acessorios,47,566,1,150,22,2,19
1ba74b19c790ee59fb57fa2befa6e885,fashion_bolsas_e_acessorios,53,297,1,150,21,9,14
8704c63bb391e44566d8dcf13d863081,fashion_bolsas_e_acessorios,55,1434,1,250,16,2,11
5a745a27fc76483a9de4540b35baff44,fashion_bolsas_e_acessorios,32,408,3,150,16,14,11
bc7f7a995ff963c23da53e0856e8b6a3,fashion_bolsas_e_acessorios,59,63,4,150,16,2,11
30f2abe62a0f5fb21e4361e83e19f3d8,fashion_bolsas_e_acessorios,33,484,3,150,16,13,11
1ea9a0015a93db6e4afd5205bc362e65,fashion_bolsas_e_acessorios,23,500,4,100,16,10,12
5389fd6d9241465b2100e105b1519ac3,fashion_bolsas_e_acessorios,58,499,4,300,43,16,27
3daf57226c18abcc95e0172756fc82d8,fashion_bolsas_e_acessorios,27,352,4,100,16,10,11
4a05ba4632c81cb999d5468d58cf0208,fashion_bolsas_e_acessorios,53,1434,1,200,16,2,11
ebda4fd2306def53d2ed7d2d011f632e,fashion_bolsas_e_acessorios,55,1399,1,200,16,2,11
1ee03eca6034b77b25d08c004bc79dd8,fashion_bolsas_e_acessorios,49,1485,2,200,16,2,11
e19c52ba2deb45c56077643f204eda1e,fashion_bolsas_e_acessorios,49,566,1,100,22,2,19
00faa46f36261af8bbf3a4d37fa4841b,fashion_bolsas_e_acessorios,49,293,1,100,21,9,14
